label,custom_id,no_fine_tuning_gpt3_prediction,no_fine_tuning_gpt3_logprobs
1,translation-4,1,-3.650519e-06
1,translation-9,1,-1.4140442000000001e-05
1,translation-27,1,-0.00022201329
1,translation-28,1,-8.537869e-06
1,translation-33,1,-2.7014437e-05
1,translation-34,1,-3.6669935000000015e-05
1,translation-40,1,-6.0629870000000005e-05
1,translation-45,1,-2.2007884000000003e-05
1,translation-52,1,-1.2709997500000002e-05
1,translation-55,1,-5.9318630000000014e-05
1,translation-56,1,-4.727906e-05
1,translation-58,1,-6.754368e-05
1,translation-63,1,-2.5941605000000003e-05
1,translation-69,1,-5.676981299999999e-06
1,translation-74,1,-0.000119158869999
1,translation-98,1,-2.3319124000000004e-05
1,translation-99,1,-2.3392786e-06
1,translation-102,1,-6.869017999999998e-06
1,translation-103,0,-0.026952434
1,translation-110,1,-1.6166903000000004e-05
1,translation-113,1,-3.650519e-06
1,translation-117,1,-6.2729996e-06
1,translation-118,0,-0.5814673300000001
1,translation-119,1,-0.0011216417
1,translation-123,1,-9.031158000000002e-05
1,translation-130,1,-1.6240565999999989e-06
1,translation-131,1,-1.2948405000000002e-05
1,translation-135,1,-4.1199673000000004e-05
1,translation-137,1,-3.786197e-05
1,translation-140,1,-0.010698068
1,translation-141,1,-0.0062198057
1,translation-153,1,-9.088346400000001e-07
1,translation-161,1,-1.743260299999999e-06
1,translation-162,1,-6.392203e-06
1,translation-166,1,-3.7697224999999987e-06
1,translation-167,1,-5.5577775e-06
1,translation-173,1,-0.97392786
1,translation-179,1,-2.0219828000000002e-05
1,translation-185,1,-0.0008654876000000001
1,translation-187,1,-6.945094e-05
1,translation-191,1,-4.7517467000000003e-05
1,translation-194,1,-1.0445127000000002e-05
1,translation-196,1,-0.169243
1,translation-198,1,-0.0008205882
1,translation-199,1,-0.011381661000000001
1,translation-229,1,-2.677603e-05
1,translation-232,1,-0.0293181
1,translation-237,1,-3.412111499999999e-06
1,translation-241,1,-3.4405064e-05
1,translation-246,1,-0.03828292
1,translation-249,1,-2.677603e-05
1,translation-252,1,-0.00018327576999900002
1,translation-255,1,-0.040086612
1,translation-258,1,-7.822646999999999e-06
1,translation-266,1,-2.5822400000000002e-05
1,translation-268,1,-6.575563e-05
1,translation-270,1,-9.4914985e-06
1,translation-275,1,-0.0036937783
1,translation-276,1,-3.4524266000000005e-05
1,translation-288,1,-2.1650272000000002e-05
1,translation-290,1,-0.00040946200000000003
1,translation-291,0,-0.004288523000000001
1,translation-292,1,-0.000119754884999
1,translation-293,1,-3.6669935000000015e-05
1,translation-297,1,-0.0008625075
1,translation-300,1,-4.9305523000000014e-05
1,translation-303,1,-7.302705000000002e-05
1,translation-317,1,-1.504853e-06
1,translation-321,1,-0.00020652047999900001
1,translation-324,1,-4.246536999999999e-06
1,translation-325,1,-0.005159285
1,translation-329,1,-2.4584822e-06
1,translation-334,1,-1.8789384000000003e-05
1,translation-339,1,-3.412111499999999e-06
1,translation-342,1,-6.2729996e-06
1,translation-343,1,-2.3676734000000003e-05
1,translation-347,1,-6.873572000000002e-05
1,translation-352,1,-4.6921450000000005e-05
1,translation-370,1,-0.0023390200000000002
1,translation-378,1,-8.0656086e-05
1,translation-385,1,-6.511407e-06
1,translation-389,1,-3.9650025e-05
1,translation-406,1,-0.0016007985
1,translation-408,1,-5.7768983e-05
1,translation-416,1,-0.00013238313999900002
1,translation-423,1,-0.006301431000000001
1,translation-432,1,-2.1769476000000003e-05
1,translation-440,1,-0.41258058000000003
1,translation-441,1,-0.0058114827
1,translation-442,1,-0.00038372133999900004
1,translation-448,1,-0.0015937691000000001
1,translation-450,1,-0.00013786651999900002
1,translation-453,1,-3.5313153e-06
1,translation-470,1,-0.00090848346
1,translation-471,1,-3.8934802000000004e-05
1,translation-475,1,-0.0017262301
1,translation-479,1,-1.9816675e-06
1,translation-499,0,-1.8193823
1,translation-502,1,-1.2664457e-06
1,translation-505,1,-1.2233183000000002e-05
1,translation-506,1,-0.0006059335000000001
1,translation-511,1,-0.01001991
1,translation-517,1,-9.133886999999997e-06
1,translation-518,1,-0.00014251545
1,translation-521,1,-0.003758275
1,translation-536,1,-6.2729996e-06
1,translation-544,1,-0.05123823
1,translation-552,1,-0.0006078408000000001
1,translation-558,1,-3.5313153e-06
1,translation-559,1,-0.00040981956
1,translation-563,1,-1.9862217e-05
1,translation-568,1,-2.5941605000000003e-05
1,translation-571,1,-7.465035999999998e-06
1,translation-575,0,-0.0011814196
1,translation-576,1,-0.000353100649999
1,translation-577,1,-0.0018273846
1,translation-586,1,-7.584239999999999e-06
1,translation-590,1,-0.0015406886000000001
1,translation-592,1,-8.418666e-06
1,translation-594,1,-1.6882126e-05
1,translation-596,1,-0.00034130315
1,translation-604,1,-0.00030626460000000004
1,translation-610,1,-2.677603e-05
1,translation-624,1,-1.2590794000000002e-05
1,translation-627,0,-0.0025901694
1,translation-634,1,-5.915388599999999e-06
1,translation-648,1,-1.1637165000000002e-05
1,translation-664,1,-4.4849443999999985e-06
1,translation-668,1,-0.00031341682
1,translation-672,1,-7.9418505e-06
1,translation-673,1,-3.0113732000000004e-05
1,translation-687,0,-0.24341373
1,translation-690,1,-6.7498139999999984e-06
1,translation-692,1,-1.0445127000000002e-05
1,translation-696,1,-0.0005408813
1,translation-703,1,-0.004827869
1,translation-707,1,-5.2001665e-06
1,translation-711,1,-0.00049595983
1,translation-712,0,-0.0004991783599990001
1,translation-713,1  ,-3.650519e-06
1,translation-715,1,-3.8457987e-05
1,translation-718,1,-0.026352897
1,translation-736,1,-1.3425220000000001e-05
1,translation-739,1,-5.800739e-05
1,translation-751,0,-0.23726657
1,translation-753,1,-0.26375863
1,translation-756,1,-0.00012964145999900002
1,translation-757,1,-3.8457987e-05
1,translation-760,1,-0.008452285
1,translation-765,1,-1.3425220000000001e-05
1,translation-768,1,-0.006792101500000001
1,translation-771,1,-8.776275999999999e-06
1,translation-774,1,-0.591388399999999
1,translation-775,1,-7.822646999999999e-06
1,translation-777,1,-0.010558773
1,translation-778,1,-7.1238996e-05
1,translation-781,1,-5.915388599999999e-06
1,translation-786,1,-4.9617593e-06
1,translation-805,1,-3.0545007e-06
1,translation-812,1,-4.0126840000000006e-05
1,translation-819,1,-1.1756368e-05
1,translation-824,1,-2.0339032000000004e-05
1,translation-830,1,-3.173704299999999e-06
1,translation-831,1,-1.2352386e-05
1,translation-838,1,-0.019567067
1,translation-848,1,-2.6537622000000002e-05
1,translation-849,1,-0.000104973629999
1,translation-852,1,-0.00014931006
1,translation-854,1,-2.8206474e-05
1,translation-856,1,-0.00022213248
1,translation-865,1,-2.5345586000000002e-05
1,translation-873,0,-2.904785399999999
1,translation-875,1,-1.7358940000000004e-05
1,translation-877,0,-0.04308232
1,translation-878,1,-3.412111499999999e-06
1,translation-881,1,-9.221884e-05
1,translation-882,1,-0.07881388
1,translation-887,1,-0.00010235115
1,translation-888,1,-6.869017999999998e-06
1,translation-892,1,-4.8425554e-06
1,translation-895,1,-5.884181500000002e-05
1,translation-901,0,-0.016902793000000003
1,translation-902,0,-0.023692401000000002
1,translation-910,1,-0.000107000094
1,translation-921,1,-5.9437833000000006e-05
1,translation-927,1,-0.00024406595999900001
1,translation-928,1,-0.00011260267
1,translation-934,0,-0.42536792
1,translation-935,1,-7.345832299999998e-06
1,translation-943,1,-9.372295e-06
1,translation-946,1,-1.1994775e-05
1,translation-948,1,-3.2140193e-05
1,translation-951,1,-1.6286107e-05
1,translation-953,1,-4.370295e-05
1,translation-968,1,-0.018012501
1,translation-969,1,-0.09475698
1,translation-970,0,-0.029153230000000002
1,translation-971,1,-0.005821195
1,translation-973,1,-0.00018697108
1,translation-979,1,-4.723352e-06
1,translation-980,1,-0.12390616500000001
1,translation-987,1,-0.00023119196999900002
1,translation-1012,1,-2.7133641e-05
1,translation-1015,1,-0.00010080150000000001
1,translation-1019,1,-3.3213026000000007e-05
1,translation-1022,1,-5.729216700000002e-05
1,translation-1025,1,-3.888926e-06
1,translation-1033,1,-0.313388
1,translation-1045,0,-0.06287562000000001
1,translation-1055,1,-1.4498052e-05
1,translation-1056,1,-6.730528e-05
1,translation-1058,1,-3.2497806e-05
1,translation-1060,1,-5.884181500000002e-05
0,translation-1071,1,-1.3306016000000001e-05
