label,custom_id,prediction,logprobs
1,translation-4,1,-4.3201999999999997e-07
1,translation-9,1,-4.3201999999999997e-07
1,translation-27,1,-1.504853e-06
1,translation-28,1,-3.1281633e-07
1,translation-33,0,-5.5122365e-07
1,translation-34,1,-1.504853e-06
1,translation-40,1,-5.5122365e-07
1,translation-45,1,-7.896309999999999e-07
1,translation-52,1,-7.896309999999999e-07
1,translation-55,1,-6.704272999999999e-07
1,translation-56,1,-5.5122365e-07
1,translation-58,1,-2.3392786e-06
1,translation-63,1,-6.704272999999999e-07
1,translation-69,1,-9.088346400000001e-07
1,translation-74,1,-0.00016659092
1,translation-98,1,-7.896309999999999e-07
1,translation-99,1,-9.088346400000001e-07
1,translation-102,1,-9.088346400000001e-07
1,translation-103,0,-3.1281633e-07
1,translation-110,1,-7.896309999999999e-07
1,translation-113,1,-1.3856492999999998e-06
1,translation-117,1,-3.1281633e-07
1,translation-118,0,-4.9617593e-06
1,translation-119,1,-1.6240565999999997e-06
1,translation-123,1,-2.3392786e-06
1,translation-130,1,-1.0280384e-06
1,translation-131,1,-6.704272999999999e-07
1,translation-135,1,-1.0280384e-06
1,translation-137,1,-1.9816675e-06
1,translation-140,1,-3.1901790000000006e-05
1,translation-141,1,-6.704272999999999e-07
1,translation-153,1,-1.1472419999999999e-06
1,translation-161,0,-4.8425554e-06
1,translation-162,1,-1.2664457e-06
1,translation-166,1,-3.1281633e-07
1,translation-167,1,-3.1281633e-07
1,translation-173,0,-1.6240565999999997e-06
1,translation-179,1,-1.0280384e-06
1,translation-185,1,-5.5122365e-07
1,translation-187,1,-9.088346400000001e-07
1,translation-191,1,-1.1472419999999999e-06
1,translation-194,1,-2.8160932e-06
1,translation-196,0,-1.6240565999999997e-06
1,translation-198,1,-1.8624638999999997e-06
1,translation-199,1,-4.310693e-05
1,translation-229,1,-4.3201999999999997e-07
1,translation-232,1,-1.1472419999999999e-06
1,translation-237,1,-1.1472419999999999e-06
1,translation-241,1,-1.504853e-06
1,translation-246,1,-1.2664457e-06
1,translation-249,1,-2.3392786e-06
1,translation-252,1,-5.5577775e-06
1,translation-255,1,-1.504853e-06
1,translation-258,1,-3.1281633e-07
1,translation-266,1,-7.896309999999999e-07
1,translation-268,1,-9.088346400000001e-07
1,translation-270,1,-1.9361264999999998e-07
1,translation-275,1,-3.2929078999999997e-06
1,translation-276,1,-2.6968896e-06
1,translation-288,1,-5.5122365e-07
1,translation-290,1,-7.896309999999999e-07
1,translation-291,0,-4.3201999999999997e-07
1,translation-292,1,-1.7432602999999999e-06
1,translation-293,1,-1.8624638999999997e-06
1,translation-297,1,-6.704272999999999e-07
1,translation-300,0,-0.0043942750000000004
1,translation-303,1,-5.5122365e-07
1,translation-317,1,-4.3201999999999997e-07
1,translation-321,1,-9.770221e-05
1,translation-324,1,-9.088346400000001e-07
1,translation-325,0,-3.1281633e-07
1,translation-329,1,-1.9361264999999998e-07
1,translation-334,0,-1.378283e-05
1,translation-339,1,-3.1281633e-07
1,translation-342,1,-5.5122365e-07
1,translation-343,1,-5.5122365e-07
1,translation-347,1,-2.577686e-06
1,translation-352,0,-9.088346400000001e-07
1,translation-370,1,-7.896309999999999e-07
1,translation-378,1,-1.3856492999999998e-06
1,translation-385,1,-3.1281633e-07
1,translation-389,1,-4.723352e-06
1,translation-406,1,-4.3201999999999997e-07
1,translation-408,1,-6.704272999999999e-07
1,translation-416,1,-1.3856492999999998e-06
1,translation-423,0,-1.9361264999999998e-07
1,translation-432,1,-9.088346400000001e-07
1,translation-440,1,-7.896309999999999e-07
1,translation-441,1,-4.3201999999999997e-07
1,translation-442,1,-1.1472419999999999e-06
1,translation-448,1,-7.896309999999999e-07
1,translation-450,1,-6.704272999999999e-07
1,translation-453,0,-1.4617256e-05
1,translation-470,1,-3.1281633e-07
1,translation-471,1,-4.3201999999999997e-07
1,translation-475,1,-4.484944399999999e-06
1,translation-479,1,-1.1472419999999999e-06
1,translation-499,0,0.0
1,translation-502,1,-1.1472419999999999e-06
1,translation-505,1,-5.5122365e-07
1,translation-506,0,-3.4121114999999997e-06
1,translation-511,0,-1.9361264999999998e-07
1,translation-517,1,-4.3201999999999997e-07
1,translation-518,1,-2.220075e-06
1,translation-521,0,-1.9816675e-06
1,translation-536,1,-1.0280384e-06
1,translation-544,1,-1.3186812e-05
1,translation-552,0,-1.9361264999999998e-07
1,translation-558,1,-1.3856492999999998e-06
1,translation-559,1,-4.3201999999999997e-07
1,translation-563,1,-3.4121114999999997e-06
1,translation-568,1,-6.704272999999999e-07
1,translation-571,1,-9.088346400000001e-07
1,translation-575,1,-1.3856492999999998e-06
1,translation-576,0,-9.088346400000001e-07
1,translation-577,0,-1.9361264999999998e-07
1,translation-586,1,-9.088346400000001e-07
1,translation-590,1,-3.1737042999999997e-06
1,translation-592,1,-1.2664457e-06
1,translation-594,0,-7.896309999999999e-07
1,translation-596,0,-3.1281633e-07
1,translation-604,1,-1.504853e-06
1,translation-610,1,-4.3201999999999997e-07
1,translation-624,1,-4.3201999999999997e-07
1,translation-627,0,-5.5122365e-07
1,translation-634,1,-1.6240565999999997e-06
1,translation-648,1,-6.704272999999999e-07
1,translation-664,1,-1.9361264999999998e-07
1,translation-668,1,-7.896309999999999e-07
1,translation-672,1,-1.2664457e-06
1,translation-673,1,-1.3856492999999998e-06
1,translation-687,1,-1.2664457e-06
1,translation-690,1,-1.3856492999999998e-06
1,translation-692,1,-3.1281633e-07
1,translation-696,0,-7.896309999999999e-07
1,translation-703,1,-1.9361264999999998e-07
1,translation-707,1,-7.896309999999999e-07
1,translation-711,0,-1.4021238000000001e-05
1,translation-712,0,0.0
1,translation-713,1,-1.9816675e-06
1,translation-715,1,-5.5122365e-07
1,translation-718,1,-1.3856492999999998e-06
1,translation-736,1,-1.0280384e-06
1,translation-739,0,-6.630610599999999e-06
1,translation-751,1,-2.3392786e-06
1,translation-753,1,-1.1517961e-05
1,translation-756,1,-5.5122365e-07
1,translation-757,1,-9.088346400000001e-07
1,translation-760,1,-2.9352967999999995e-06
1,translation-765,1,-2.6968896e-06
1,translation-768,1,-3.7981175000000007e-05
1,translation-771,1,-1.2664457e-06
1,translation-774,0,-1.1472419999999999e-06
1,translation-775,1,-4.3201999999999997e-07
1,translation-777,1,-2.7968066e-05
1,translation-778,1,-7.896309999999999e-07
1,translation-781,1,-1.0280384e-06
1,translation-786,1,-6.704272999999999e-07
1,translation-805,1,-9.088346400000001e-07
1,translation-812,1,-1.0280384e-06
1,translation-819,1,-1.8624638999999997e-06
1,translation-824,0,-5.5122365e-07
1,translation-830,1,-7.896309999999999e-07
1,translation-831,1,-1.0280384e-06
1,translation-838,0,-1.8550976000000003e-05
1,translation-848,0,-3.1281633e-07
1,translation-849,1,-5.5122365e-07
1,translation-852,1,-6.0345924e-06
1,translation-854,1,-1.6240565999999997e-06
1,translation-856,1,-5.800739e-05
1,translation-865,1,-3.1281633e-07
1,translation-873,1,-1.1472419999999999e-06
1,translation-875,1,-1.504853e-06
1,translation-877,1,-1.2664457e-06
1,translation-878,0,-1.0280384e-06
1,translation-881,1,-1.3856492999999998e-06
1,translation-882,1,-2.4584822e-06
1,translation-887,1,-2.9352967999999995e-06
1,translation-888,1,-4.3201999999999997e-07
1,translation-892,1,-4.3201999999999997e-07
1,translation-895,1,-5.5122365e-07
1,translation-901,0,-1.504853e-06
1,translation-902,1,-4.3201999999999997e-07
1,translation-910,1,-9.088346400000001e-07
1,translation-921,1,-7.465035999999999e-06
1,translation-927,0,-5.9153885999999995e-06
1,translation-928,1,-1.0280384e-06
1,translation-934,0,-0.056381755000000006
1,translation-935,1,-6.704272999999999e-07
1,translation-943,1,-6.704272999999999e-07
1,translation-946,1,-1.2664457e-06
1,translation-948,1,-5.5122365e-07
1,translation-951,0,-9.088346400000001e-07
1,translation-953,1,-6.704272999999999e-07
1,translation-968,0,-4.3201999999999997e-07
1,translation-969,0,-2.9875326e-05
1,translation-970,1,-7.896309999999999e-07
1,translation-971,0,-7.896309999999999e-07
1,translation-973,1,-4.1273332999999995e-06
1,translation-979,1,-6.704272999999999e-07
1,translation-980,0,-5.5122365e-07
