text,label,custom_id,translation
can tiktok pls stop trying to tell me i’m about to get into a long term relationship i’m literally on mental health watch rn i don’t have the time for that,0,translation-1494,"Ali lahko tiktok prosim neha napovedovati, da bom kmalu v dolgi zvezi? Sem dobesedno pod nadzorom za duševno zdravje in nimam časa za to."
Got a bloody screening invitation for a massive film - YES THAT ONE YOURE THINKING OF - and both screenings are on school days 😭 tempted to quit teaching tbh,1,translation-546,"Dobil sem vstopnico za projekcijo ogromnega filma - JA, TISTEGA NA KATEREGA MISLIŠ - in obe projekciji sta na šolski dan 😭 skušan sem pustiti poučevanje, če sem iskren"
my favorite gay drama is the social network,1,translation-958,moja najljubša gejevska drama je družbeno omrežje
I simply love this clip. Thank you.,0,translation-1772,Preprosto obožujem ta posnetek. Hvala.
I can’t wait for Boris to wait until after Christmas to lock us down again so that I can’t go to Poland like I’ve been waiting for for half a year!,1,translation-541,"Komaj čakam, da nas Boris znova zapre po božiču, tako da ne bom mogel iti na Poljsko, kar že pol leta komaj čakam!"
Amazing how fast this team can go winning from 13 straight to losing three in a row. Lol. Horrible managing tonight. I really hope this Boone experiment is over soon.,1,translation-473,"Neverjetno, kako hitro lahko ta ekipa preide iz 13 zmag zapored na tri zaporedne poraze. Lol. Grozno vodenje nocoj. Resnično upam, da bo ta Booneov eksperiment kmalu končan."
I just wanna have the same love for life as Phil from Modern Family is that too much to ask,0,translation-2109,"Samo želim si imeti enako ljubezen do življenja kot Phil iz Modern Family, je to preveč za prositi?"
Everybody loves Christmas! It such a great time to be jolly!,1,translation-962,Vsi obožujejo božič! To je tako izvrsten čas za veselje!
dont u just love when u get ready for a cancelled date two hours early . . . yeah i wasnt excited or anything,1,translation-986,"Ali ni super, ko se pripraviš na odpovedan zmenek dve uri prezgodaj . . . ja, nisem bil/a nič kaj navdušen/a"
me most days with my 16 year old...,0,translation-1894,jaz večino dni z mojim 16-letnikom...
West Ham beat Chelsea? Really?? Did that really happen or did I dream it? I for o e am in shock! I never thought I would see the day!,1,translation-722,"West Ham je premagal Chelsea? Res?? Se je to res zgodilo ali sem le sanjal? Jaz sem v šoku! Nikoli nisem mislil, da bom dočakal ta dan!"
"Always here if anyone needs to talk during this time, if you need someone to listen please message me x",0,translation-2030,"Vedno sem tukaj, če kdo potrebuje pogovor v tem času, če potrebujete nekoga, ki bi poslušal, mi prosim sporočite x"
"@DexterJManning This game was the best $4.95 dollars I've ever spent Dex, can't wait for your next game! :)",0,translation-2000,"@DexterJManning Ta igra je bila najboljše, za kar sem kdaj porabil 4,95 dolarja, Dex, komaj čakam na tvojo naslednjo igro! :)"
My president https://t.co/xaH8cLpdQV,0,translation-1627,Moj predsednik https://t.co/xaH8cLpdQV
thats it im packing my things and moving to italy see u all in a month xo,1,translation-316,"To je to, pakiram stvari in se selim v Italijo. Se vidimo čez en mesec. xo"
"If your website still has a google plus share button, forgive me if I’m not tripping over myself to take your information as credible or current.",1,translation-385,"Če vaša spletna stran še vedno vsebuje gumb za deljenje na Google Plus, mi oprostite, če se ne spotikam od navdušenja, da bi vašo informacijo jemal kot verodostojno ali ažurno."
man I really hate seeing two fucking idiots raising a baby,0,translation-2032,"človek, res sovražim, ko dva jebena idiota vzgajata otroka"
