text,label,custom_id,translation
"Wow, can’t wait to go into ANOTHER lockdown 🙄",1,translation-339,"Vau, komaj čakam, da gremo v ŠE ENO zaprtje 🙄"
can tiktok pls stop trying to tell me i’m about to get into a long term relationship i’m literally on mental health watch rn i don’t have the time for that,0,translation-1494,"Ali lahko tiktok prosim neha napovedovati, da bom kmalu v dolgi zvezi? Sem dobesedno pod nadzorom za duševno zdravje in nimam časa za to."
Got a bloody screening invitation for a massive film - YES THAT ONE YOURE THINKING OF - and both screenings are on school days 😭 tempted to quit teaching tbh,1,translation-546,"Dobil sem vstopnico za projekcijo ogromnega filma - JA, TISTEGA NA KATEREGA MISLIŠ - in obe projekciji sta na šolski dan 😭 skušan sem pustiti poučevanje, če sem iskren"
@yourfavmichaela It’s never to late to take a nap,0,translation-2005,@yourfavmichaela Nikoli ni prepozno za dremanje
Amazing how fast this team can go winning from 13 straight to losing three in a row. Lol. Horrible managing tonight. I really hope this Boone experiment is over soon.,1,translation-473,"Neverjetno, kako hitro lahko ta ekipa preide iz 13 zmag zapored na tri zaporedne poraze. Lol. Grozno vodenje nocoj. Resnično upam, da bo ta Booneov eksperiment kmalu končan."
summer just fully went to me: speaking of singstar ... hun ? we weren’t even talking,0,translation-1380,poletje mi je reklo: ko že govorimo o Singstaru ... draga? saj sploh nismo govorili
me most days with my 16 year old...,0,translation-1894,jaz večino dni z mojim 16-letnikom...
"Oh, no, totally, don't wear a mask and cough and splutter around me. COVID'll be a fun little time..",1,translation-624,"Oh, ja, seveda, sploh ne nosi maske in kašljaj ter kihaj okoli mene. COVID bo en sam užitek.."
West Ham beat Chelsea? Really?? Did that really happen or did I dream it? I for o e am in shock! I never thought I would see the day!,1,translation-722,"West Ham je premagal Chelsea? Res?? Se je to res zgodilo ali sem le sanjal? Jaz sem v šoku! Nikoli nisem mislil, da bom dočakal ta dan!"
"Always here if anyone needs to talk during this time, if you need someone to listen please message me x",0,translation-2030,"Vedno sem tukaj, če kdo potrebuje pogovor v tem času, če potrebujete nekoga, ki bi poslušal, mi prosim sporočite x"
"@DexterJManning This game was the best $4.95 dollars I've ever spent Dex, can't wait for your next game! :)",0,translation-2000,"@DexterJManning Ta igra je bila najboljše, za kar sem kdaj porabil 4,95 dolarja, Dex, komaj čakam na tvojo naslednjo igro! :)"
"Hey @Honda, any chance we could see a civic in Rocket League? 😉",0,translation-1500,"Hej @Honda, ali obstaja možnost, da bi lahko videli Civica v Rocket League? 😉"
man I really hate seeing two fucking idiots raising a baby,0,translation-2032,"človek, res sovražim, ko dva jebena idiota vzgajata otroka"
it's funny my mom thinks i possess no remorse when i feel remorse everyday for existing 😎,1,translation-454,"Smešno je, da misli moja mama, da ne občutim kesanja, medtem ko vsak dan čutim kesanje že za to, da obstajam 😎"
"I would imply that this friend has a tendency to be unthinkingly judgemental, and often revels in knowledgeable ignorance ",0,translation-1236,"Namigujem, da ima ta prijatelj nagnjenost k nepremišljeni obsojanju in pogosto uživa v vednem neznanju."
There is a serious BO issue in this office.,0,translation-1827,V tej pisarni je resen problem z neprijetnim vonjem.
Tynecastle a good day out with the troops. Come on the bears the morra ❤️🐻,0,translation-1596,Tynecastle je bil dober izlet s prijatelji. Gremo medvedi jutri ❤️🐻
remember when everyone’s feeds were just retweeted giveaways looool those were the days,1,translation-50,"Se spomniš, ko so bili vsi naši feedi samo retviti nagradnih iger loool tisti časi so bili ey"
Hahahah @LibertyU is shutting down the entire campus for quarantine!! Couldn’t happen to a nicer group of Covid deniers! #CovidIsNotOver #karmaisabitch #Covid_19,1,translation-631,Hahahah @LibertyU zapira celoten kampus zaradi karantene!! Ne bi se moglo zgoditi lepši skupini zanikovalcev Covida! #CovidSeNiKončal #karmajeprasica #Covid_19
Hate how there are different rules for different people. It creates even bigger divisions in society.,0,translation-1594,"Sovražim, kako obstajajo različna pravila za različne ljudi. To ustvarja še večje razlike v družbi."
"Also, two whole episodes this season with no D'avin at all. ☹️

#killjoys",0,translation-2017,"Tudi dve celi epizodi te sezone brez D'avina. ☹️

#killjoys"
They really said you can’t have nice weather AND no lockdown for your bday this year huh,1,translation-258,"Res so rekli, da letos ne moreš imeti lepega vremena IN brez zaprtja za tvoj rojstni dan, kajne?"
Boris Johnson is entirely trustworthy and honest and there was obviously no Christmas Party in Number 10 this time last year,1,translation-513,"Boris Johnson je popolnoma zanesljiv in pošten, in seveda lani ni bilo nobene božične zabave v Številki 10."
Brother's off on a night out and I've gone to bed cos I feel exhausted and sick.... excellent 👍🏻,1,translation-60,"Brat je šel ven, jaz pa sem šel spat, ker se počutim izčrpano in bolno.... odlično 👍🏻"
I heard somebody unironically say Daddy God in a prayer today and akslfljsd why are Christians so cringey sometimes 😭,0,translation-1239,"Danes sem slišal nekoga v molitvi resno reči ""Ati Bog"" in akslfljsd, zakaj so kristjani včasih tako sramotni 😭"
@AvatarOdin @aubviouslynot sounds like the american dream ngl,1,translation-506,"@AvatarOdin @aubviouslynot zveni kot ameriške sanje, da, ne bom lagal."
I still can’t believe England won the World Cup,1,translation-731,"Še vedno ne morem verjeti, da je Anglija zmagala na svetovnem prvenstvu."
ayo govvy hook me up w that stimmy if you know how the flow goes y feel,0,translation-1764,"ej vlada, zrihtaj mi tisti stimulacijski paket, če razumeš, kako stvari tečejo y veš"
Ahhh I get to listen to a cement mixer all day. Awesome.,1,translation-155,"Ahhh, ves dan bom poslušal mešalec za cement. Super."
Can't wait to get a kebab,0,translation-1496,"Komaj čakam, da dobim kebab"
Turnover is the best band to cry to/drive to/daydream to/fall asleep to/ reminisce to/die to,1,translation-389,Turnover je najboljša skupina za jokanje/vožnjo/sanjarenje/spanje/spominjanje/umiranje.
Why is this 30 yr old man trying to flirt w/ me at this wedding and talking about getting away with dating younger girls. Sir I will call the authorities,1,translation-458,"Zakaj se ta 30-letni moški na tej poroki poskuša spogledovati z mano in govori o tem, kako se izmuzne pri zmenkih z mlajšimi dekleti? Gospod, poklicala bom organe pregona."
Refs dashing out yellows to united players for jokes,0,translation-1221,Sodniki kar tako delijo rumene kartone igralcem Uniteda za šalo.
